RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned,Age_Grupo,probabilidade,decil
1607,15714080,Goliwe,566,Germany,Female,40,2,97001.36,2,1,0,154486.01,0,0,1,DIAMOND,719,Nao_Idoso,0.13772203919052609,5
1608,15648721,Hsueh,711,France,Male,64,4,0.0,2,1,1,3185.67,0,0,1,GOLD,949,Nao_Idoso,0.055474393821025376,8
1609,15801466,Gray,574,France,Female,39,2,122524.61,2,1,0,88463.63,0,0,1,SILVER,686,Nao_Idoso,0.09760746974108207,6
1610,15750248,Wright,619,France,Female,35,8,132292.63,1,1,0,65682.93,0,0,1,DIAMOND,508,Nao_Idoso,0.17057503875720623,4
1611,15758726,Chiemeka,588,France,Female,24,0,0.0,2,1,1,140586.08,0,0,3,PLATINUM,715,Nao_Idoso,0.02938318911669665,10
1612,15781553,Chung,760,Germany,Female,49,9,91502.99,1,1,0,117232.9,1,1,5,PLATINUM,511,Nao_Idoso,0.6327641511389609,1
1613,15649121,Pinto,665,France,Male,52,3,0.0,1,1,0,116137.01,1,1,1,GOLD,307,Nao_Idoso,0.8026072524247824,1
1614,15674811,Kellway,739,Germany,Male,29,3,59385.98,2,1,1,105533.96,0,0,5,PLATINUM,429,Nao_Idoso,0.031647222386218865,9
1615,15646037,Sopuluchi,641,France,Male,77,9,0.0,3,1,1,81514.06,0,0,4,PLATINUM,846,Idoso,0.6485002079319149,1
1616,15722578,Spitzer,685,Germany,Female,21,6,97956.5,1,1,1,164966.27,0,0,2,SILVER,220,Nao_Idoso,0.07222495763814867,7
1617,15665695,Potter,594,France,Female,49,4,0.0,2,1,1,23631.55,0,0,3,PLATINUM,801,Nao_Idoso,0.13109043697490375,5
1618,15801062,Matthews,557,Spain,Female,40,4,0.0,2,0,1,105433.53,0,0,2,SILVER,281,Nao_Idoso,0.042679667642935175,9
1619,15662955,Nicholls,697,France,Male,27,8,141223.68,2,1,0,90591.15,0,0,1,PLATINUM,900,Nao_Idoso,0.05683210937039486,8
1620,15770309,McDonald,656,France,Male,18,10,151762.74,1,0,1,127014.32,0,0,2,GOLD,778,Nao_Idoso,0.06248958690068373,7
1621,15657386,Fiorentini,712,Germany,Male,43,1,141749.74,2,0,1,90905.26,0,0,4,PLATINUM,957,Nao_Idoso,0.1605936040243939,4
1622,15777797,Kovalyova,689,Spain,Male,38,5,75075.14,1,1,1,8651.92,1,1,4,GOLD,731,Nao_Idoso,0.17492169246967448,4
1623,15783955,Miah,697,France,Female,25,4,165686.11,2,1,0,15467.98,0,0,5,DIAMOND,694,Nao_Idoso,0.06577803047542115,7
1624,15804516,Builder,589,France,Male,38,2,0.0,1,1,0,79915.28,0,0,2,SILVER,985,Nao_Idoso,0.4075222989908457,2
1625,15681758,Baddeley,525,Spain,Female,25,10,0.0,2,1,0,69361.95,0,0,5,GOLD,428,Nao_Idoso,0.021965386062819118,10
1626,15630321,Hu,680,France,Male,44,3,0.0,2,1,0,86935.08,0,0,5,SILVER,254,Nao_Idoso,0.0887729986978768,6
1627,15588248,Hs?,617,France,Female,28,0,0.0,2,1,1,7597.83,1,1,3,SILVER,922,Nao_Idoso,0.032831368316983016,9
1628,15591932,Ford,680,France,Male,32,5,92961.61,1,1,0,116957.6,0,0,1,GOLD,618,Nao_Idoso,0.1336719166482947,5
1629,15810347,Todd,662,Spain,Female,30,9,0.0,2,0,1,157884.83,0,0,5,SILVER,479,Nao_Idoso,0.01673782646739413,10
1630,15595303,Johnston,736,Germany,Male,46,5,130812.91,1,1,1,77981.54,1,1,3,SILVER,610,Nao_Idoso,0.2968118501092848,3
1631,15634950,Obiajulu,657,Germany,Male,57,8,107174.58,1,1,1,126369.55,1,1,2,SILVER,288,Nao_Idoso,0.3951358438258865,2
1632,15685372,Azubuike,350,Spain,Male,54,1,152677.48,1,1,1,191973.49,1,1,3,SILVER,643,Nao_Idoso,0.5249154813770732,2
1633,15745827,Padovesi,617,France,Male,30,3,132005.77,1,1,0,142940.39,0,0,5,GOLD,285,Nao_Idoso,0.12496943310193351,5
1634,15755868,Farmer,562,France,Male,35,7,0.0,1,0,0,48869.67,0,0,3,GOLD,863,Nao_Idoso,0.32026015257911283,2
1635,15735222,Ignatieff,705,Spain,Female,23,5,0.0,2,1,1,73131.73,0,0,4,SILVER,308,Nao_Idoso,0.026051523756308335,10
1636,15604804,Lu,516,France,Female,33,7,127305.5,1,1,1,120037.36,0,0,4,GOLD,924,Nao_Idoso,0.06676301815782988,7
1637,15718944,Artemiev,573,France,Female,37,6,0.0,2,1,0,193995.37,0,0,4,PLATINUM,326,Nao_Idoso,0.06393636216596656,7
1638,15678626,Okonkwo,538,Spain,Female,31,0,0.0,2,0,0,179453.66,0,0,5,SILVER,798,Nao_Idoso,0.028650058474809236,10
1639,15571550,Dore,699,France,Male,39,9,0.0,1,1,0,80963.92,0,0,2,DIAMOND,966,Nao_Idoso,0.38645103463278774,2
1640,15723053,T'ang,504,Germany,Male,32,8,170291.22,2,0,1,15658.99,0,0,2,GOLD,391,Nao_Idoso,0.038376016409745,9
1641,15661528,Ashbolt,583,Spain,Male,47,5,102562.23,1,1,0,92708.1,0,0,3,SILVER,948,Nao_Idoso,0.5738755106250499,1
1642,15754177,Bazarova,712,Spain,Male,53,2,111061.01,2,0,0,26542.17,0,0,2,GOLD,345,Nao_Idoso,0.6289713056815301,1
1643,15683544,Buccho,626,Spain,Male,62,3,0.0,1,1,1,65010.74,0,0,1,PLATINUM,930,Nao_Idoso,0.2909394182209939,3
1644,15708048,Burn,631,France,Female,34,4,124379.14,1,1,0,106892.91,0,0,1,SILVER,461,Nao_Idoso,0.1659532988578597,4
1645,15701109,Andreyev,663,France,Female,37,7,0.0,1,1,1,185210.63,0,0,5,PLATINUM,885,Nao_Idoso,0.2307526725686393,4
1646,15600110,Endrizzi,506,Germany,Female,41,3,57745.76,1,1,0,4035.46,0,0,1,SILVER,908,Nao_Idoso,0.2809407094423269,3
1647,15651533,Brown,570,Germany,Female,50,5,129293.74,1,1,0,177805.44,1,1,4,DIAMOND,988,Nao_Idoso,0.6797975142677456,1
1648,15777904,Nock,703,France,Female,45,7,0.0,2,1,1,68831.72,0,0,1,PLATINUM,662,Nao_Idoso,0.059667913331798626,8
1649,15655574,Okeke,698,Germany,Female,40,8,150777.1,1,1,0,114732.62,0,0,3,GOLD,981,Nao_Idoso,0.2761262184906645,3
1650,15569423,Cunningham,731,Spain,Male,41,4,0.0,2,1,0,22299.27,0,0,1,GOLD,968,Nao_Idoso,0.052814063304372987,8
1651,15718106,Kelley,625,France,Male,34,6,0.0,2,0,0,197283.2,0,0,5,PLATINUM,503,Nao_Idoso,0.03221569007508491,9
1652,15585067,Wilson,634,Spain,Male,31,9,108632.48,1,1,1,179485.96,1,1,5,DIAMOND,760,Nao_Idoso,0.13721745833724625,5
1653,15675501,Woods,616,France,Male,59,5,153861.1,1,1,1,17699.48,0,0,4,SILVER,681,Nao_Idoso,0.343632372297516,2
1654,15633233,McFarland,500,France,Male,56,1,100374.58,1,1,0,118490.8,1,1,4,DIAMOND,950,Nao_Idoso,0.7725299459818514,1
1655,15667134,Cisneros,446,France,Male,32,8,0.0,2,0,0,133292.94,0,0,2,SILVER,444,Nao_Idoso,0.04006981980837841,9
1656,15659105,Borchgrevink,669,France,Female,47,9,61196.54,1,1,0,58170.24,0,0,5,SILVER,269,Nao_Idoso,0.5834191188826797,1
1657,15575409,Rozhkova,581,Germany,Male,31,6,116891.72,1,1,0,107137.3,0,0,2,SILVER,258,Nao_Idoso,0.1659532988578597,4
1658,15752342,Bradley,704,Germany,Female,54,6,133656.91,3,1,0,145071.33,1,1,1,PLATINUM,329,Nao_Idoso,0.9252288804790803,1
1659,15654851,Obialo,748,France,Male,44,2,92911.52,1,0,1,85495.24,0,0,5,PLATINUM,805,Nao_Idoso,0.2776287464886704,3
1660,15741429,Hudson,680,Spain,Female,31,9,119825.75,2,1,1,101139.3,0,0,5,DIAMOND,307,Nao_Idoso,0.04214553633552671,9
1661,15682356,Veltri,655,France,Female,37,7,111852.84,2,1,0,10511.13,0,0,3,SILVER,313,Nao_Idoso,0.08127222134198347,7
1662,15806447,Mazzanti,690,Germany,Male,32,0,106683.52,2,1,1,137916.49,0,0,1,PLATINUM,615,Nao_Idoso,0.04392320761911986,9
1663,15800229,Thorpe,695,Germany,Male,40,7,139022.24,1,0,1,193383.13,0,0,2,DIAMOND,227,Nao_Idoso,0.24304089880376,3
1664,15663441,Golibe,700,Germany,Female,40,4,148571.07,1,1,0,189826.96,1,1,2,SILVER,266,Nao_Idoso,0.29314031390547585,3
1665,15791991,Udinesi,773,France,Male,52,4,0.0,1,0,1,144113.42,0,0,4,SILVER,748,Nao_Idoso,0.49659287701214866,2
1666,15775082,Stewart,749,France,Male,42,1,129776.72,2,0,1,143538.51,0,0,5,DIAMOND,942,Nao_Idoso,0.12960389281446433,5
1667,15579706,Curtis,611,France,Female,46,5,0.0,1,1,0,77677.14,1,1,4,PLATINUM,749,Nao_Idoso,0.6204834077556783,1
1668,15718247,Hayden,606,Spain,Female,46,8,0.0,2,1,1,183717.94,0,0,2,DIAMOND,939,Nao_Idoso,0.06914742996129623,7
1669,15755722,H?,554,France,Male,24,10,0.0,1,0,0,92180.62,0,0,5,SILVER,398,Nao_Idoso,0.3105842612027566,3
1670,15582259,Campbell,567,France,Female,37,7,0.0,2,1,1,28690.9,0,0,4,PLATINUM,601,Nao_Idoso,0.0271264219570635,10
1671,15716994,Green,559,Spain,Male,24,3,114739.92,1,1,0,85891.02,1,1,4,SILVER,327,Nao_Idoso,0.16711114241855174,4
1672,15586880,P'eng,594,Germany,Male,41,2,122545.65,2,1,1,42050.24,0,0,2,DIAMOND,866,Nao_Idoso,0.07646155868858,7
1673,15713854,Cremonesi,513,France,Female,37,6,0.0,2,1,0,110142.34,0,0,1,SILVER,743,Nao_Idoso,0.061451490543896745,8
1674,15780835,Liang,652,Germany,Female,26,1,131908.35,1,1,1,179269.79,0,0,1,PLATINUM,343,Nao_Idoso,0.11616961555908026,6
1675,15675896,Gough,680,Germany,Female,42,7,105722.69,1,1,1,90558.24,1,1,1,DIAMOND,269,Nao_Idoso,0.25185389707756,3
1676,15658459,Bates,784,Spain,Male,33,10,0.0,2,1,0,162022.47,0,0,3,PLATINUM,562,Nao_Idoso,0.037024794543104984,9
1677,15658057,Padovesi,812,Spain,Female,44,8,0.0,3,1,0,66926.83,1,1,2,PLATINUM,812,Nao_Idoso,0.8488045641512206,1
1678,15801767,Yin,784,Spain,Female,40,8,0.0,2,1,0,108891.3,0,0,2,PLATINUM,672,Nao_Idoso,0.053588311102401656,8
1679,15569178,Kharlamov,570,France,Female,18,4,82767.42,1,1,0,71811.9,0,0,5,SILVER,507,Nao_Idoso,0.16711114241855174,4
1680,15731478,Nicholls,712,France,Female,42,1,87842.98,1,0,0,92223.59,0,0,4,PLATINUM,927,Nao_Idoso,0.3742624293840585,2
1681,15811236,Burns,705,Spain,Male,39,6,133261.13,1,1,1,78065.9,0,0,4,GOLD,344,Nao_Idoso,0.16723876049697114,4
1682,15746749,Fleming,681,Spain,Female,32,3,0.0,2,1,1,59679.9,0,0,1,SILVER,526,Nao_Idoso,0.030702261248548385,10
1683,15662758,Watson,620,France,Male,41,0,97925.11,1,1,0,85000.32,0,0,3,GOLD,836,Nao_Idoso,0.28663508415626515,3
1684,15709387,Obiajulu,711,France,Male,52,5,0.0,1,1,1,159808.95,0,0,2,SILVER,258,Nao_Idoso,0.49458735629846695,2
1685,15572093,Han,613,France,Female,24,7,140453.91,1,1,0,129001.3,0,0,2,DIAMOND,245,Nao_Idoso,0.12234741359009117,6
1686,15713826,Ferguson,613,Germany,Female,20,0,117356.19,1,0,0,113557.7,1,1,4,DIAMOND,637,Nao_Idoso,0.13607706582625315,5
1687,15570205,Tao,682,Spain,Male,36,5,0.0,2,1,1,147758.51,0,0,5,GOLD,628,Nao_Idoso,0.013703443139626102,10
1688,15589348,Le Grand,850,Spain,Male,37,4,137204.77,1,1,1,28865.59,0,0,5,DIAMOND,687,Nao_Idoso,0.07704329829035855,7
1689,15804610,Valdez,601,France,Female,41,1,0.0,2,0,1,160607.06,0,0,4,SILVER,856,Nao_Idoso,0.03625483303389019,9
1690,15700854,Cunningham,595,Spain,Male,35,8,0.0,1,1,0,100015.79,1,1,1,SILVER,645,Nao_Idoso,0.32615432950201917,2
1691,15758836,Godfrey,675,Spain,Male,36,3,54098.18,2,0,1,54478.52,0,0,4,PLATINUM,432,Nao_Idoso,0.04299426195977463,9
1692,15772933,Mai,591,Spain,Male,31,8,0.0,1,1,1,141677.33,0,0,1,GOLD,997,Nao_Idoso,0.18512292415299297,4
1693,15809006,Walker,602,France,Male,23,7,113758.48,2,0,0,84077.6,0,0,4,DIAMOND,719,Nao_Idoso,0.07202646626007493,7
1694,15689612,Pirozzi,554,Spain,Female,34,8,0.0,1,0,1,106981.03,0,0,4,DIAMOND,539,Nao_Idoso,0.16528603185407736,4
1695,15744614,Feng,541,France,Male,37,9,118636.92,1,1,1,73551.44,0,0,2,GOLD,771,Nao_Idoso,0.0853344961141643,6
1696,15704250,Akabueze,506,France,Male,34,7,0.0,2,0,0,115842.1,0,0,1,DIAMOND,929,Nao_Idoso,0.039593276151594185,9
1697,15700255,Robson,814,Germany,Male,44,8,95488.82,2,0,0,107013.59,0,0,4,DIAMOND,474,Nao_Idoso,0.2754820921534994,3
1698,15669410,Yevdokimova,683,France,Male,30,8,110829.52,2,0,0,24938.84,0,0,2,PLATINUM,698,Nao_Idoso,0.04679723657364576,8
1699,15807595,Ijendu,485,Germany,Male,51,7,144244.59,2,1,0,51113.14,0,0,4,PLATINUM,633,Nao_Idoso,0.6217977713025943,1
1700,15664523,Colombo,696,Germany,Female,31,8,122021.92,2,1,0,33828.64,0,0,3,SILVER,896,Nao_Idoso,0.04821751996249425,8
1701,15642833,Akubundu,608,France,Female,30,8,0.0,2,1,0,128875.86,0,0,2,GOLD,657,Nao_Idoso,0.03715845794943575,9
1702,15605279,Francis,792,France,Male,50,9,0.0,4,1,1,194700.81,1,1,4,DIAMOND,369,Nao_Idoso,0.854547422151337,1
1703,15713644,Marshall,686,Spain,Male,22,5,0.0,2,1,0,158974.45,0,0,2,SILVER,968,Nao_Idoso,0.043638453106673504,9
1704,15750466,Rhodes,790,Germany,Male,42,1,85839.62,1,1,0,198182.73,0,0,5,GOLD,226,Nao_Idoso,0.37613537860381335,2
1705,15739054,Y?,654,France,Female,29,4,96974.97,1,0,1,141404.07,0,0,2,DIAMOND,342,Nao_Idoso,0.07390810455701012,7
1706,15612771,Bell,452,France,Male,35,4,148172.44,1,1,1,4175.68,0,0,3,GOLD,939,Nao_Idoso,0.08719776494310688,6
1707,15788483,Kerr,719,Spain,Male,38,0,0.0,1,1,0,126876.47,0,0,1,SILVER,954,Nao_Idoso,0.39042819285036034,2
1708,15732832,Jideofor,707,France,Female,40,5,0.0,2,1,0,41052.82,0,0,2,DIAMOND,763,Nao_Idoso,0.05377653410501986,8
1709,15772892,Robertson,699,France,Female,49,2,0.0,1,0,0,105760.01,0,0,4,PLATINUM,370,Nao_Idoso,0.6601358866636718,1
1710,15713843,Kao,850,Spain,Male,30,2,0.0,2,0,1,27937.12,0,0,1,PLATINUM,663,Nao_Idoso,0.026489178377482093,10
1711,15567993,Palmer,828,Spain,Male,28,8,134766.85,1,1,0,79355.87,0,0,3,GOLD,738,Nao_Idoso,0.1230366531931173,6
1712,15617603,Mackay,850,Germany,Male,30,5,123210.56,2,1,1,102180.27,0,0,4,DIAMOND,749,Nao_Idoso,0.0379018315774868,9
1713,15744983,Burgmann,712,Spain,Male,47,1,139887.01,1,1,1,95719.73,0,0,4,GOLD,583,Nao_Idoso,0.34279693713177384,2
1714,15630419,Davis,634,France,Male,44,9,149961.11,1,1,0,57121.51,0,0,2,GOLD,673,Nao_Idoso,0.5075149974929974,2
1715,15738828,Milano,730,Germany,Male,45,6,152880.97,1,0,0,162478.11,0,0,4,PLATINUM,856,Nao_Idoso,0.5460677621467224,1
1716,15778025,Dellucci,685,Germany,Male,43,9,108589.47,2,0,1,194808.51,0,0,4,GOLD,376,Nao_Idoso,0.13621947432000597,5
1717,15799479,Coles,809,Spain,Male,33,9,0.0,1,1,1,124045.65,0,0,5,GOLD,452,Nao_Idoso,0.1327451168598533,5
1718,15684269,Gray,707,Spain,Female,35,3,56674.48,1,1,0,17987.4,1,1,4,DIAMOND,845,Nao_Idoso,0.17342936537656856,4
1719,15762745,Macvitie,648,Spain,Male,32,8,0.0,1,1,0,133653.38,0,0,4,SILVER,687,Nao_Idoso,0.24650217044587133,3
1720,15746970,Townsend,760,Spain,Female,57,1,0.0,2,1,1,25101.17,0,0,2,PLATINUM,687,Nao_Idoso,0.11919294779424032,6
1721,15725024,Pope,805,Germany,Female,33,3,105663.56,2,0,1,33330.89,0,0,3,SILVER,709,Nao_Idoso,0.03440698324597181,9
1722,15592116,Jensen,585,France,Female,39,7,0.0,2,1,0,2401.26,0,0,5,PLATINUM,601,Nao_Idoso,0.03574827334186655,9
1723,15624391,Thomson,595,Spain,Female,30,5,100683.54,1,1,1,178361.04,0,0,3,SILVER,376,Nao_Idoso,0.13272057561181946,5
1724,15567422,Chiazagomekpele,630,France,Male,42,6,0.0,2,1,0,162697.93,0,0,1,GOLD,986,Nao_Idoso,0.08318395831584458,7
1725,15612627,Ozuluonye,627,Germany,Male,29,5,139541.58,2,1,0,80607.33,0,0,1,DIAMOND,662,Nao_Idoso,0.07954247437115322,7
1726,15574879,Wright,631,Germany,Female,37,2,121801.72,2,0,1,23146.62,0,0,3,GOLD,396,Nao_Idoso,0.0541506402798303,8
1727,15745107,Lung,776,Germany,Male,38,5,112281.7,1,0,1,89893.6,0,0,4,DIAMOND,962,Nao_Idoso,0.16551648825334736,4
1728,15734491,Lombardo,676,Spain,Female,36,4,0.0,2,1,1,3173.31,0,0,2,PLATINUM,539,Nao_Idoso,0.02687909381927878,10
1729,15675320,Leonard,758,Spain,Female,40,5,93499.82,2,0,0,123218.81,0,0,1,DIAMOND,793,Nao_Idoso,0.13229065826202402,5
1730,15643824,Johnston,637,France,Male,33,0,132255.99,2,0,1,74588.41,0,0,1,GOLD,284,Nao_Idoso,0.06120271286707507,8
1731,15643438,P'eng,850,France,Male,20,7,0.0,2,1,0,31288.77,0,0,1,DIAMOND,396,Nao_Idoso,0.03482524854723488,9
1732,15721730,Amechi,601,Spain,Female,44,4,0.0,2,1,0,58561.31,0,0,1,GOLD,281,Nao_Idoso,0.12943459408286603,5
1733,15680727,Fang,735,France,Male,49,5,121973.28,1,1,0,148804.36,0,0,1,DIAMOND,916,Nao_Idoso,0.6394233248255279,1
1734,15752508,Docherty,614,Germany,Male,32,7,99462.8,2,1,1,51117.06,0,0,5,PLATINUM,238,Nao_Idoso,0.03691936842038669,9
1735,15808846,Horton,672,Germany,Female,21,3,165878.76,2,1,1,164537.17,0,0,2,DIAMOND,412,Nao_Idoso,0.04334591837895031,9
1736,15727251,Vincent,642,France,Male,30,8,117494.27,1,0,0,61977.82,0,0,4,DIAMOND,486,Nao_Idoso,0.13999612494400304,5
1737,15663489,Onio,633,Germany,Female,29,0,138577.34,1,1,0,193362.99,0,0,1,DIAMOND,503,Nao_Idoso,0.13835170478790212,5
1738,15683677,Schiavone,769,Spain,Male,39,9,0.0,1,1,1,47722.79,0,0,3,PLATINUM,851,Nao_Idoso,0.27514581244480796,3
1739,15596414,Chandler,796,Spain,Male,41,8,107525.07,1,1,0,18510.41,0,0,2,SILVER,606,Nao_Idoso,0.28085084129585286,3
1740,15730639,Fiorentino,715,France,Male,23,7,139224.92,2,1,0,65057.71,0,0,1,DIAMOND,385,Nao_Idoso,0.0726112244437287,7
1741,15672132,Butusov,695,France,Female,42,7,121453.63,1,0,0,46374.64,0,0,2,GOLD,564,Nao_Idoso,0.3767680125519367,2
1742,15742638,Wang,747,France,Female,25,4,0.0,2,0,1,42039.67,0,0,1,GOLD,914,Nao_Idoso,0.023712149459021403,10
1743,15578603,Alexeieva,584,Germany,Female,54,1,77354.37,1,0,0,138192.98,1,1,5,SILVER,668,Nao_Idoso,0.7843459479328309,1
1744,15726088,Vinogradova,476,France,Male,40,6,0.0,1,1,1,22735.45,0,0,4,PLATINUM,507,Nao_Idoso,0.3272226289290156,2
1745,15682533,Hughes,850,France,Female,39,7,79259.99,1,0,1,186910.74,0,0,1,DIAMOND,976,Nao_Idoso,0.17055875200580803,4
1746,15772995,Ts'ao,529,France,Male,30,2,116295.29,1,1,0,75285.47,0,0,4,PLATINUM,997,Nao_Idoso,0.128880000352907,5
1747,15765694,Bage,584,Spain,Female,59,1,0.0,1,0,1,130260.11,1,1,1,PLATINUM,462,Nao_Idoso,0.42690040238706256,2
1748,15659486,Yudina,586,Germany,Male,34,9,74309.81,1,1,0,15034.93,0,0,5,GOLD,248,Nao_Idoso,0.1167975308520744,6
1749,15568963,Naquin,674,Germany,Male,34,2,152797.9,1,1,0,175709.4,1,1,4,GOLD,385,Nao_Idoso,0.11205487837949875,6
1750,15703820,Endrizzi,552,France,Male,42,9,133701.07,2,1,0,101069.71,1,1,4,SILVER,523,Nao_Idoso,0.15634119593129356,5
1751,15569410,Tang,601,Germany,Female,33,7,114430.18,2,1,1,153012.13,0,0,2,SILVER,976,Nao_Idoso,0.03837725015597962,9
1752,15632256,Schroeder,541,France,Male,29,7,127504.57,1,0,0,86173.92,0,0,4,DIAMOND,647,Nao_Idoso,0.1266995910543233,5
1753,15724466,Swearingen,744,Germany,Female,41,2,84113.41,1,1,0,197548.63,0,0,2,SILVER,428,Nao_Idoso,0.2815504403108663,3
1754,15777639,McGregor,595,Spain,Female,23,10,101126.66,2,0,0,37042.8,0,0,4,SILVER,586,Nao_Idoso,0.047526312646006756,8
1755,15802501,Onyeorulu,724,Germany,Male,33,5,103564.83,2,1,0,121085.72,0,0,1,GOLD,352,Nao_Idoso,0.06323859016941047,7
1756,15778410,Clarke,533,Spain,Female,52,7,0.0,1,0,1,194113.99,1,1,5,DIAMOND,590,Nao_Idoso,0.5880325971185328,1
1757,15670702,Smith,618,France,Male,37,2,168178.21,2,0,1,101273.23,0,0,1,SILVER,576,Nao_Idoso,0.05176952779069765,8
1758,15704763,Kozlova,523,Germany,Female,39,1,143903.11,1,1,1,118711.75,1,1,1,SILVER,732,Nao_Idoso,0.17715126868206607,4
1759,15645544,Nekrasov,642,Germany,Female,30,5,129753.69,1,1,0,582.53,0,0,1,SILVER,515,Nao_Idoso,0.13426255725327005,5
1760,15757646,Olague,584,France,Male,35,9,0.0,2,1,0,192381.21,0,0,3,GOLD,490,Nao_Idoso,0.06729952776653078,7
1761,15701121,Holt,521,France,Male,38,5,110641.18,1,0,1,136507.69,1,1,4,SILVER,815,Nao_Idoso,0.18873123719939983,4
1762,15796313,Olsen,662,France,Female,36,4,166909.2,2,1,0,138871.12,1,1,5,GOLD,970,Nao_Idoso,0.08391883205104822,6
1763,15815660,Mazzi,758,France,Female,34,1,154139.45,1,1,1,60728.89,0,0,1,PLATINUM,533,Nao_Idoso,0.08563767141438992,6
1764,15602844,Niu,717,France,Male,38,7,97459.06,1,0,0,189175.71,0,0,2,PLATINUM,676,Nao_Idoso,0.26522665060634704,3
1765,15636238,Graham,611,France,Male,40,1,0.0,2,1,1,102547.56,0,0,2,SILVER,991,Nao_Idoso,0.03347923224506285,9
1766,15770101,Millar,766,Germany,Male,43,6,112088.04,2,1,1,36706.56,0,0,5,DIAMOND,306,Nao_Idoso,0.19101917521651415,4
1767,15645543,Bell,636,France,Female,34,3,0.0,2,1,1,44756.25,0,0,5,SILVER,524,Nao_Idoso,0.01788111440398787,10
1768,15596397,Kelly,814,France,Female,48,7,0.0,2,1,1,132870.15,0,0,1,GOLD,260,Nao_Idoso,0.16789296248583999,4
1769,15770525,T'an,760,Spain,Male,28,1,141038.57,2,0,0,16287.38,0,0,4,DIAMOND,882,Nao_Idoso,0.074521424401547,7
1770,15684267,Davila,607,Germany,Male,39,2,84468.67,2,1,1,121945.42,0,0,5,SILVER,331,Nao_Idoso,0.06028031132383515,8
1771,15689980,Willis,725,Spain,Female,36,4,118520.26,1,0,0,131173.9,1,1,1,PLATINUM,663,Nao_Idoso,0.16529535222173464,4
1772,15633260,Dumetochukwu,600,France,Male,37,1,142663.46,1,0,1,88669.89,0,0,3,SILVER,917,Nao_Idoso,0.10123880227021026,6
1773,15756471,Giles,656,Germany,Male,27,4,118627.16,2,1,1,160835.3,0,0,4,SILVER,563,Nao_Idoso,0.033271475412430036,9
1774,15721303,O'Meara,640,Spain,Male,34,1,137523.02,1,0,0,24761.36,0,0,1,GOLD,994,Nao_Idoso,0.12818321665717286,5
1775,15802256,Yao,439,France,Male,28,7,110976.23,2,1,0,138526.96,0,0,4,PLATINUM,566,Nao_Idoso,0.05465230148376139,8
1776,15725664,Wallace,549,France,Female,38,8,107283.4,1,0,0,157442.75,0,0,4,SILVER,555,Nao_Idoso,0.26542451426553954,3
1777,15674851,T'ien,622,France,Male,38,5,0.0,2,0,0,105295.77,0,0,1,SILVER,773,Nao_Idoso,0.05430140681667151,8
1778,15701946,Ndubueze,715,France,Male,34,4,124314.45,1,0,0,97782.92,0,0,2,SILVER,874,Nao_Idoso,0.16487523266687332,4
1779,15748947,Chukwuraenye,657,France,Female,41,5,95858.37,1,1,1,68255.88,0,0,2,DIAMOND,529,Nao_Idoso,0.18479241633695503,4
1780,15673342,K'ung,703,France,Male,36,2,0.0,2,1,0,108790.95,0,0,2,SILVER,433,Nao_Idoso,0.060574199064459246,8
1781,15601008,Stevenson,802,France,Male,33,8,0.0,2,1,0,143706.18,0,0,1,SILVER,956,Nao_Idoso,0.04104061292144209,9
1782,15771636,Marshall,793,Spain,Female,36,0,0.0,1,0,0,148993.47,0,0,2,SILVER,847,Nao_Idoso,0.2543316401722658,3
1783,15642002,Hayward,554,France,Female,35,6,117707.18,2,0,0,95277.15,1,1,2,DIAMOND,643,Nao_Idoso,0.12106500755681271,6
1784,15693381,Tipton,533,Spain,Male,38,1,135289.33,2,0,1,152956.33,0,0,1,GOLD,867,Nao_Idoso,0.0684229391549094,7
1785,15607691,Gibson,658,France,Male,36,8,174060.46,1,1,1,94925.62,0,0,1,GOLD,603,Nao_Idoso,0.08272685106928461,7
1786,15589380,Fraser,713,Germany,Male,40,3,114446.84,2,1,1,87308.18,0,0,4,DIAMOND,391,Nao_Idoso,0.06599953449309097,7
1787,15603846,Fang,711,Spain,Male,37,2,0.0,2,1,0,83978.86,1,1,4,GOLD,407,Nao_Idoso,0.060574199064459246,8
1788,15753549,Dubinina,669,France,Male,25,1,157848.53,1,0,0,37543.93,1,1,3,GOLD,354,Nao_Idoso,0.1180067130476243,6
1789,15725355,Morey,439,France,Female,43,8,0.0,1,0,1,104889.3,0,0,1,GOLD,663,Nao_Idoso,0.35147786170631046,2
1790,15773017,Todd,763,Spain,Female,37,6,0.0,2,1,1,149705.25,0,0,5,SILVER,799,Nao_Idoso,0.014533634518901209,10
1791,15625641,Forbes,697,Germany,Female,74,3,108071.36,2,1,1,16445.79,0,0,3,DIAMOND,525,Idoso,0.0975860738001761,6
1792,15776467,De Salis,702,Spain,Female,35,8,14262.8,2,1,0,54689.16,0,0,3,SILVER,372,Nao_Idoso,0.08786669810403072,6
1793,15746451,Barry,686,Spain,Male,41,7,102749.72,1,0,1,194913.86,0,0,2,DIAMOND,561,Nao_Idoso,0.19382926555122354,4
1794,15777922,Afamefuna,629,Spain,Male,36,1,161757.87,2,1,1,146371.72,0,0,2,DIAMOND,642,Nao_Idoso,0.07585139440725497,7
